#Position (bp)	insert size
1.5789085085E9	290.33142364749995
1.5866293325E9	0.0
1.5943501565E9	287.86747279322856
1.6020709805E9	289.5260015274596
1.6097918045E9	289.5913224774435
1.6175126285E9	288.962113269241
1.6252334525E9	288.365355664283
1.6329542765E9	287.80945425293197
1.6406751005E9	287.9855287264044
1.6483959245E9	286.3228446901244
1.6561167485E9	285.4764185952365
1.6638375725E9	286.7893696281035
1.671290807E9	288.56825682568257
1.675151219E9	290.0487734068805
1.6792792205E9	288.9253023500384
1.6870000445E9	288.6240836368666
1.6947208685E9	288.7150084317032
1.7024416925E9	287.77730483489796
1.7101625165E9	288.7141404528804
1.7178833405E9	295.16142422615854
1.7256041645E9	289.54957620985255
1.7333249885E9	290.4803941556235
1.7410458125E9	288.4956884220851
1.7487666365E9	288.0603285307883
1.7564874605E9	287.5147372832312
1.7642082845E9	287.7515858608522
1.7719291085E9	287.35013612565444
1.7796499325E9	288.45938823049323
1.7873707565E9	288.50317497648166
1.7950915805E9	288.51686692907947
1.8028124045E9	290.02178875568984
1.807676934E9	289.173330637416
1.811537346E9	288.98109772876404
1.8182540525E9	288.1899464436719
1.8259748765E9	287.7664789103856
1.8336957005E9	290.1818812243561
1.8414165245E9	289.01885536424317
1.8491373485E9	288.7413625834043
1.8568581725E9	287.80226148047484
1.8645789965E9	289.45710013931836
1.8722998205E9	287.0557020370696
1.8800206445E9	286.5262798935164
1.8877414685E9	286.0806928311224
1.8954622925E9	288.7545176643579
1.9031831165E9	288.9885739107443
1.9109039405E9	289.4053016651049
1.9186247645E9	287.8664741125271
1.9263455885E9	288.48138514891883
1.9340664125E9	289.375051542991
1.940847249E9	289.5535498224113
1.944707661E9	287.4661936137861
1.9495080605E9	287.8419057079174
1.9572288845E9	289.448403628227
1.9649497085E9	290.739801233802
1.9726705325E9	288.56774201495386
1.9803913565E9	289.6120633160256
1.9881121805E9	289.55463662661043
1.9958330045E9	288.7552824683936
2.0035538285E9	289.0985142797144
2.0112746525E9	288.3011349883005
2.0189954765E9	290.25860664469315
2.0267163005E9	290.0931378121329
2.0344371245E9	289.3639660599425
2.0421579485E9	285.6131952671376
2.0498787725E9	285.5046797667467
2.0575995965E9	285.7292702856331
2.0653204205E9	284.5267179779202
2.0730412445E9	287.4233500272031
2.0769723195E9	287.55242390078917
2.0808327315E9	0.0
2.0884828925E9	0.0
2.0962037165E9	288.9146484905148
2.1039245405E9	289.0292583310127
2.1116453645E9	290.30303998863553
2.1193661885E9	288.76002930939734
2.1270870125E9	287.9878315611685
2.1348078365E9	291.0652393034653
2.1425286605E9	291.86817189833124
2.1502494845E9	290.9201835889399
2.1579703085E9	290.8567403182021
2.1656911325E9	290.8577427645172
2.1734119565E9	289.8015176387819
2.1811327805E9	290.58111326420425
2.1882002515E9	290.0635446323088
2.1920606635E9	0.0
2.1965744285E9	0.0
2.2042952525E9	294.7061403508772
2.2120160765E9	290.0933748250718
